term,term_adapted,term_context,Sociability,Morality,Assertiveness,Ability,Beliefs,Status,Health,Emotions,Geography,Occupation,Appearance,Beauty,Family,Deviance,SocialGroups,Gender,Race,Age,Sexual.Orientation,Valence,Valence_dir,Sociability_dir,Morality_dir,Assertiveness_dir,Ability_dir,Beliefs_dir,Status_dir,Health_dir,Geography_dir,Occupation_dir,Beauty_dir,Deviance_dir,Activation_dir,Emotionalvalence_dir,Age.youngtoold_dir,SexOr.LGBtostr8_dir,Gender.femtomasc_dir,Gender.nonbinary&trans,Sum,Sentence,Sentence_bold,Sentence_qualtrics,Sentence_bold_qualtrics,Sentence_bold_qualtrics2
Middle Eastern,Middle Eastern,A person who is Middle Eastern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Middle Eastern they are also likely to be:,If a person is <b>Middle Eastern</b> they are also likely to be:,"""If a person is Middle Eastern they are also likely to be:"",","""If a person is <b>Middle Eastern</b> they are also likely to be:"",","""If a person is <b>Middle Eastern</b> they are also likely to:"","
Indian,Indian,A person who is Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Indian they are also likely to be:,If a person is <b>Indian</b> they are also likely to be:,"""If a person is Indian they are also likely to be:"",","""If a person is <b>Indian</b> they are also likely to be:"",","""If a person is <b>Indian</b> they are also likely to:"","
mixed-race,mixed-race,A person who is mixed-race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is mixed-race they are also likely to be:,If a person is <b>mixed-race</b> they are also likely to be:,"""If a person is mixed-race they are also likely to be:"",","""If a person is <b>mixed-race</b> they are also likely to be:"",","""If a person is <b>mixed-race</b> they are also likely to:"","
Multiracial,Multiracial,A person who is Multiracial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Multiracial they are also likely to be:,If a person is <b>Multiracial</b> they are also likely to be:,"""If a person is Multiracial they are also likely to be:"",","""If a person is <b>Multiracial</b> they are also likely to be:"",","""If a person is <b>Multiracial</b> they are also likely to:"","
Hispanic,Hispanic,A person who is Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Hispanic they are also likely to be:,If a person is <b>Hispanic</b> they are also likely to be:,"""If a person is Hispanic they are also likely to be:"",","""If a person is <b>Hispanic</b> they are also likely to be:"",","""If a person is <b>Hispanic</b> they are also likely to:"","
male,male,A person who is male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is male they are also likely to be:,If a person is <b>male</b> they are also likely to be:,"""If a person is male they are also likely to be:"",","""If a person is <b>male</b> they are also likely to be:"",","""If a person is <b>male</b> they are also likely to:"","
man,a man,A person who is a man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is a man they are also likely to be:,If a person is <b>a man</b> they are also likely to be:,"""If a person is a man they are also likely to be:"",","""If a person is <b>a man</b> they are also likely to be:"",","""If a person is <b>a man</b> they are also likely to:"","
mister,a mister,A person who is a mister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is a mister they are also likely to be:,If a person is <b>a mister</b> they are also likely to be:,"""If a person is a mister they are also likely to be:"",","""If a person is <b>a mister</b> they are also likely to be:"",","""If a person is <b>a mister</b> they are also likely to:"","
guy,a guy,A person who is a guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is a guy they are also likely to be:,If a person is <b>a guy</b> they are also likely to be:,"""If a person is a guy they are also likely to be:"",","""If a person is <b>a guy</b> they are also likely to be:"",","""If a person is <b>a guy</b> they are also likely to:"","
lad,a lad,A person who is a lad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is a lad they are also likely to be:,If a person is <b>a lad</b> they are also likely to be:,"""If a person is a lad they are also likely to be:"",","""If a person is <b>a lad</b> they are also likely to be:"",","""If a person is <b>a lad</b> they are also likely to:"","
